City Summary URL,City,Restaurant Name,Address,Price Point,Food Type(Cusine),Restaurant URL,Hours of Operation
https://www.foodora.com.au,Melbourne,Juanita Peaches,"12 Edward St, Brunswick,3056,Melbourne",$$,"Bakery & Cafe,Chicken,Sandwiches,Burgers",https://www.foodora.com.au/restaurant/a7ya/juanita-peaches," Mon - Thu 11:30 am - 2:30 pm, 5:00 pm - 9:00 pm , Fri 11:30 am - 2:30 pm, 5:00 pm - 10:00 pm , Sat 10:30 am - 10:00 pm , Sun 10:30 am - 9:00 pm "
https://www.foodora.com.au,Melbourne,Rock Salt & Vinegar,"258 Smith St, Collingwood,3066,Melbourne",$,"Salad,Australian,Seafood,Burgers",https://www.foodora.com.au/restaurant/a1jy/rock-salt-vinegar," Mon - Fri 11:00 am - 5:00 pm , Sat, Sun 10:30 am - 5:00 pm "
https://www.foodora.com.au,Melbourne,Rock Salt & Vinegar,"258 Smith St, Collingwood,3066,Melbourne",$,"Salad,Australian,Seafood,Burgers",https://www.foodora.com.au/restaurant/a2lw/rock-salt," Mon - Fri 11:00 am - 9:30 pm , Sat, Sun 10:30 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,Lezzet,"81 Brighton Road, Elsternwick,3184,Melbourne",$$,"Turkish,Pizza,Kebab,Grill,Mediterranean",https://www.foodora.com.au/restaurant/a5sb/lezzet," Tue - Fri 5:30 pm - 10:00 pm , Sat, Sun 10:30 am - 3:00 pm, 5:30 pm - 10:00 pm "
https://www.foodora.com.au,Melbourne,Papparich QV,"149, Little Lonsdale St. Level 2, Shop 11, QV Square, QV Building, Melbourne,3000,Melbourne",$,"Meat,Malaysian,Vegetarian,Rice,Noodles",https://www.foodora.com.au/restaurant/a6kd/papparich-qv," Mon - Thu 11:00 am - 5:00 pm, 5:00 pm - 9:30 pm , Fri 11:00 am - 5:00 pm, 5:00 pm - 10:00 pm , Sat 11:00 am - 10:00 pm , Sun 11:00 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,Schnitz South Melbourne,"111 Cecil St, South Melbourne,3205,Melbourne",$$,"Salad,Australian,Chicken,Burgers",https://www.foodora.com.au/restaurant/a9ba/schnitz-south-melbourne," Mon - Thu, Sun 11:00 am - 8:30 pm , Fri, Sat 11:00 am - 9:00 pm "
https://www.foodora.com.au,Melbourne,@ The Catch Fish and Burger Bar,"158 Koornang Rd, Carnegie,3163,Melbourne",$,"Share,Seafood,Fish,Burgers",https://www.foodora.com.au/restaurant/a1st/the-catch," Tue - Sun 11:00 am - 3:00 pm, 5:00 pm - 8:30 pm "
https://www.foodora.com.au,Melbourne,Hunky Dory Richmond,"135 Swan Street, Richmond,3121,Melbourne",$,"Grill,Salad,Fish,Seafood",https://www.foodora.com.au/restaurant/a5ks/hunky-dory-richmond, Mon - Sun 11:00 am - 9:30 pm 
https://www.foodora.com.au,Melbourne,Ladro TAP,"162 Greville Street, Prahran,3141,Melbourne",$$,"Pizza,Italian,Gluten-Free",https://www.foodora.com.au/restaurant/a1tg/ladro-tap," Mon - Thu 5:00 pm - 10:00 pm , Fri 12:30 pm - 3:00 pm, 5:00 pm - 10:00 pm , Sat, Sun 11:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,The Beer and Burger Bar,"112 Swan Street, Richmond,3121,Melbourne",$$,"Meat,American,Burgers",https://www.foodora.com.au/restaurant/a2bn/the-beer-and-burger-bar, Mon - Sun 11:00 am - 10:00 pm 
https://www.foodora.com.au,Melbourne,Fish & Chippery by The Atlantic,"8 Whiteman St, Southbank,3006,Melbourne",$$,"Australian,Salad,Fish,Seafood",https://www.foodora.com.au/restaurant/a1px/fish-and-chippery," Mon - Thu 12:00 pm - 9:30 pm , Fri, Sat 11:00 am - 10:00 pm , Sun 11:00 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,Xeom,"194 Smith Street, Collingwood,3066,Melbourne",$$,"Rice,Soup,Vietnamese,Noodles,Street Food",https://www.foodora.com.au/restaurant/a5bd/xeom, Mon - Sun 11:00 am - 9:30 pm 
https://www.foodora.com.au,Melbourne,2nd Episode Bento,"13/171 Fitzroy Street, St Kilda,3182,Melbourne",$$,"Rice,Curry,Meat,Korean,Breakfast",https://www.foodora.com.au/restaurant/a6ke/2nd-episode-bento, Mon - Sun 11:00 am - 3:00 pm 
https://www.foodora.com.au,Melbourne,A & A BBQ,"359 Brunswick St, Fitzroy,3065,Melbourne",$$,"Meat,Asian,Rice,Noodles",https://www.foodora.com.au/restaurant/a9ab/a-a-bbq, Mon - Sun 11:00 am - 10:00 pm 
https://www.foodora.com.au,Melbourne,Asian Beer Cafe,"211 La Trobe Street, Melbourne,3000,Melbourne",$$$,"Pizza,Chicken wings,Asian,Pub grub,Share",https://www.foodora.com.au/restaurant/a2np/asian-beer-cafe," Mon - Fri 11:00 am - 5:00 pm, 5:00 pm - 10:00 pm , Sat, Sun 11:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,At Ease Easy Thai,"195 Lonsdale Street, Melbourne CBD,3000,Melbourne",$$,"Rice,Curry,Soup,Thai,Noodles",https://www.foodora.com.au/restaurant/a2go/at-ease-easy-thai," Mon - Fri 11:00 am - 5:00 pm, 5:00 pm - 9:30 pm , Sat, Sun 11:00 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,B3 BBQ,"460 Victoria St, Brunswick,3056,Melbourne",$$,"Meat,American,Chicken,Burgers",https://www.foodora.com.au/restaurant/a2jv/b3-bbq," Mon - Fri 11:00 am - 3:00 pm, 5:00 pm - 9:30 pm , Sat, Sun 11:00 am - 9:30 pm "
https://www.foodora.com.au,Melbourne,Bad Boys,"57 Londsdale Street, Melbourne,3000,Melbourne",$,"Australian,American,Breakfast,Burgers",https://www.foodora.com.au/restaurant/a3ov/bad-boys," Mon - Thu, Sat, Sun 11:00 am - 5:00 pm , Fri 11:00 am - 6:00 pm "
https://www.foodora.com.au,Melbourne,Badger vs Hawk,"333 La Trobe St, Melbourne,3000,Melbourne",$$,"Australian,American,Burgers",https://www.foodora.com.au/restaurant/a2ep/badger-vs-hawk, Mon - Sun 11:00 am - 10:00 pm 
https://www.foodora.com.au,Melbourne,Bamboo Bean,"301 Waverley Rd, Malvern East,3145,Melbourne",$$,"Australian,American,Burgers",https://www.foodora.com.au/restaurant/a5ys/bamboo-burgers," Mon, Tue 11:00 am - 3:00 pm , Wed - Sun 11:00 am - 3:00 pm, 5:00 pm - 10:00 pm "
https://www.foodora.com.au,Melbourne,Bamboo City,"49 Toorak Road, South Yarra,3141,Melbourne",$$,"Noodles,Soup,Dumplings,Chinese",https://www.foodora.com.au/restaurant/a5vx/bamboo-city, Mon - Sun 11:00 am - 10:00 pm 
https://www.foodora.com.au,Melbourne,Bamboo City (Lt Bento Hut),"49 Toorak Road, South Yarra,3141,Melbourne",$$,"Rice,Meat,Japanese,Noodles",https://www.foodora.com.au/restaurant/a6wd/lt-bento-hut, Mon - Sun 11:00 am - 10:00 pm 
https://www.foodora.com.au,Melbourne,Bao & Co,"68 Menzies Alley, Monkey King Bar Melbourne Central Shopping Centre, CBD,3000,Melbourne",$,"Meat,Asian,Taiwanese",https://www.foodora.com.au/restaurant/a4fe/bao-co," Mon - Wed 11:00 am - 9:00 pm , Thu, Fri 11:00 am - 10:00 pm , Sat 10:00 am - 10:00 pm , Sun 11:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Big Dogs Deli,"327 Lennox Street, Richmond,3121,Melbourne",$$,"Meat,Sandwiches,Cafe",https://www.foodora.com.au/restaurant/a0bp/big-dogs-deli," Mon, Wed 11:00 am - 8:30 pm , Thu - Sun 11:00 am - 9:30 pm "
